winner,turns,win_rate_player_1,win_rate_player_2,cards_played_player_1,cards_played_player_2,hand_value_player_1,hand_value_player_2,score_player_1,score_player_2
CardCounter,85,0.43859649122807015,0.5614035087719298,44,45,34,0,1927,1928
CardCounter,40,0.43478260869565216,0.5652173913043478,22,20,8,0,1935,1928
Random,30,0.4396551724137931,0.5603448275862069,15,16,0,29,1935,1957
Random,163,0.4444444444444444,0.5555555555555556,88,83,0,67,1935,2024
CardCounter,15,0.4406779661016949,0.559322033898305,7,8,18,0,1953,2024
Random,31,0.44537815126050423,0.5546218487394958,19,15,0,7,1953,2031
CardCounter,15,0.44166666666666665,0.5583333333333333,7,9,44,0,1997,2031
CardCounter,60,0.4380165289256198,0.5619834710743802,33,30,31,0,2028,2031
CardCounter,27,0.4344262295081967,0.5655737704918032,13,15,33,0,2061,2031
CardCounter,20,0.43089430894308944,0.5691056910569106,13,10,37,0,2098,2031
Random,108,0.43548387096774194,0.5645161290322581,58,57,0,29,2098,2060
Random,29,0.44,0.56,17,17,0,75,2098,2135
CardCounter,13,0.4365079365079365,0.5634920634920635,6,9,27,0,2125,2135
CardCounter,20,0.4330708661417323,0.5669291338582677,11,10,41,0,2166,2135
CardCounter,11,0.4296875,0.5703125,5,8,11,0,2177,2135
CardCounter,31,0.4263565891472868,0.5736434108527132,16,18,21,0,2198,2135
Random,20,0.4307692307692308,0.5692307692307692,10,10,0,29,2198,2164
Random,23,0.4351145038167939,0.5648854961832062,12,11,0,73,2198,2237
CardCounter,25,0.4318181818181818,0.5681818181818182,12,15,42,0,2240,2237
Random,25,0.43609022556390975,0.5639097744360902,15,12,0,20,2240,2257
CardCounter,63,0.43283582089552236,0.5671641791044776,35,34,18,0,2258,2257
Random,31,0.43703703703703706,0.562962962962963,17,15,0,30,2258,2287
CardCounter,51,0.4338235294117647,0.5661764705882353,28,29,52,0,2310,2287
Random,37,0.43795620437956206,0.5620437956204379,21,21,0,25,2310,2312
CardCounter,17,0.43478260869565216,0.5652173913043478,9,11,47,0,2357,2312
CardCounter,28,0.4316546762589928,0.5683453237410072,15,16,12,0,2369,2312
CardCounter,13,0.42857142857142855,0.5714285714285714,6,9,67,0,2436,2312
Random,13,0.4326241134751773,0.5673758865248227,7,6,0,48,2436,2360
CardCounter,95,0.4295774647887324,0.5704225352112676,51,48,23,0,2459,2360
Random,31,0.43356643356643354,0.5664335664335665,17,15,0,27,2459,2387
Random,14,0.4375,0.5625,7,9,0,34,2459,2421
CardCounter,26,0.43448275862068964,0.5655172413793104,13,13,19,0,2478,2421
CardCounter,29,0.4315068493150685,0.5684931506849316,15,16,20,0,2498,2421
CardCounter,26,0.42857142857142855,0.5714285714285714,13,13,84,0,2582,2421
CardCounter,41,0.42567567567567566,0.5743243243243243,22,22,11,0,2593,2421
Random,33,0.42953020134228187,0.5704697986577181,18,16,0,10,2593,2431
CardCounter,17,0.4266666666666667,0.5733333333333334,11,9,35,0,2628,2431
Random,15,0.4304635761589404,0.5695364238410596,8,7,0,65,2628,2496
CardCounter,31,0.4276315789473684,0.5723684210526315,15,17,30,0,2658,2496
CardCounter,30,0.42483660130718953,0.5751633986928104,15,15,31,0,2689,2496
CardCounter,23,0.42207792207792205,0.577922077922078,11,12,2,0,2691,2496
Random,21,0.4258064516129032,0.5741935483870968,13,10,0,24,2691,2520
Random,34,0.42948717948717946,0.5705128205128205,17,21,0,0,2691,2520
Random,109,0.43312101910828027,0.5668789808917197,57,58,0,6,2691,2526
Random,24,0.43670886075949367,0.5632911392405063,12,12,0,54,2691,2580
Random,89,0.44025157232704404,0.559748427672956,50,46,0,5,2691,2585
CardCounter,17,0.4375,0.5625,8,11,23,0,2714,2585
CardCounter,54,0.43478260869565216,0.5652173913043478,27,29,5,0,2719,2585
CardCounter,21,0.43209876543209874,0.5679012345679012,12,11,20,0,2739,2585
CardCounter,48,0.4294478527607362,0.5705521472392638,27,25,9,0,2748,2585
Random,14,0.4329268292682927,0.5670731707317073,7,7,0,28,2748,2613
Random,39,0.43636363636363634,0.5636363636363636,23,23,0,51,2748,2664
Random,38,0.4397590361445783,0.5602409638554217,20,21,0,59,2748,2723
Random,13,0.4431137724550898,0.5568862275449101,7,7,0,25,2748,2748
CardCounter,16,0.44047619047619047,0.5595238095238095,12,8,58,0,2806,2748
Random,25,0.4437869822485207,0.5562130177514792,13,12,0,57,2806,2805
CardCounter,23,0.4411764705882353,0.5588235294117647,12,12,45,0,2851,2805
Random,31,0.4444444444444444,0.5555555555555556,16,19,0,35,2851,2840
CardCounter,39,0.4418604651162791,0.5581395348837209,19,20,33,0,2884,2840
CardCounter,22,0.4393063583815029,0.5606936416184971,13,11,79,0,2963,2840
Random,20,0.4425287356321839,0.5574712643678161,11,12,0,51,2963,2891
Random,15,0.44571428571428573,0.5542857142857143,10,7,0,3,2963,2894
Random,36,0.44886363636363635,0.5511363636363636,19,18,0,40,2963,2934
Random,13,0.4519774011299435,0.5480225988700564,9,6,0,43,2963,2977
CardCounter,25,0.449438202247191,0.550561797752809,12,15,26,0,2989,2977
CardCounter,48,0.44692737430167595,0.553072625698324,25,27,62,0,3051,2977
Random,20,0.45,0.55,10,10,0,23,3051,3000
CardCounter,46,0.44751381215469616,0.5524861878453039,27,23,46,0,3097,3000
CardCounter,17,0.44505494505494503,0.554945054945055,8,10,45,0,3142,3000
CardCounter,50,0.4426229508196721,0.5573770491803278,25,25,15,0,3157,3000
CardCounter,25,0.44021739130434784,0.5597826086956522,12,13,35,0,3192,3000
Random,63,0.44324324324324327,0.5567567567567567,36,35,0,9,3192,3009
CardCounter,17,0.44086021505376344,0.5591397849462365,8,9,13,0,3205,3009
Random,79,0.44385026737967914,0.5561497326203209,40,41,0,41,3205,3050
Random,20,0.44680851063829785,0.5531914893617021,11,10,0,12,3205,3062
Random,29,0.4497354497354497,0.5502645502645502,16,14,0,31,3205,3093
Random,18,0.45263157894736844,0.5473684210526316,9,9,0,66,3205,3159
Random,39,0.45549738219895286,0.5445026178010471,21,22,0,6,3205,3165
CardCounter,25,0.453125,0.546875,12,14,16,0,3221,3165
CardCounter,96,0.45077720207253885,0.5492227979274611,51,52,32,0,3253,3165
CardCounter,21,0.4484536082474227,0.5515463917525774,10,12,27,0,3280,3165
Random,23,0.4512820512820513,0.5487179487179488,14,13,0,0,3280,3165
CardCounter,17,0.4489795918367347,0.5510204081632653,10,9,4,0,3284,3165
CardCounter,14,0.4467005076142132,0.5532994923857868,8,7,23,0,3307,3165
CardCounter,29,0.4444444444444444,0.5555555555555556,15,15,2,0,3309,3165
CardCounter,20,0.44221105527638194,0.5577889447236181,10,10,43,0,3352,3165
CardCounter,26,0.44,0.56,13,16,33,0,3385,3165
